
order_id,order_date,sku,product_name,quantity,unit_price,channel,country,status
1001,2026-04-01,SKU001,Wireless Mouse,2,15.99,Shopify,US,paid
1002,2026-04-01,SKU002,USB Keyboard,1,25.50,Shopify,US,paid
1003,2026-04-02,SKU001,Wireless Mouse,1,15.99,Amazon,CA,paid
1004,2026-04-02,SKU003,Laptop Stand,1,32.00,Shopify,US,refunded
1005,2026-04-03,SKU004,Webcam HD,3,45.00,Amazon,UK,paid
1006,2026-04-03,SKU002,USB Keyboard,2,25.50,Shopify,US,paid
1007,2026-04-04,SKU005,Desk Lamp,1,28.80,Shopify,AU,paid
1008,2026-04-04,SKU001,Wireless Mouse,4,15.99,Amazon,US,paid
1009,2026-04-05,SKU003,Laptop Stand,2,32.00,Shopify,US,paid
1010,2026-04-05,SKU004,Webcam HD,1,45.00,Amazon,CA,paid
1011,2026-04-06,SKU006,Phone Holder,5,9.99,Shopify,US,paid
1012,2026-04-06,SKU005,Desk Lamp,2,28.80,Amazon,UK,paid

